Team1,Team2,ROUND,Year
Connecticut,Auburn,4,2024
IowaState,BrighamYoung,4,2024
NorthCarolina,SaintMary's(CA),4,2024
NewMexico,Arizona,4,2024
Houston,Duke,4,2024
NCState,Marquette,4,2024
Gonzaga,Purdue,4,2024
Tennessee,Creighton,4,2024
