Team1,Team2,ROUND,Year
Connecticut,FloridaAtlantic,3,2024
Auburn,SanDiegoState,3,2024
Illinois,BrighamYoung,3,2024
IowaState,WashingtonState,3,2024
MississippiState,NorthCarolina,3,2024
Alabama,SaintMary's(CA),3,2024
Baylor,NewMexico,3,2024
Dayton,Arizona,3,2024
TexasA&M,Houston,3,2024
Duke,JamesMadison,3,2024
NCState,Kentucky,3,2024
Colorado,Marquette,3,2024
TCU,Purdue,3,2024
Kansas,Gonzaga,3,2024
Oregon,Creighton,3,2024
Tennessee,Texas,3,2024
