School,Year,Games,Wins,Loses,W_L_Perc,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Team_Points,Opp_Points,Min_Played,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Pec,eFG_Pec,TOV_Pec,ORB_Pec,FT/FGA
PortlandState,2024,32,17,15,0.531,-6.69,-4.48,8,10,11,2,5,11,2302,2299,1289,809,1949,0.415,237,730,0.325,447,652,0.686,375,1181,379,226,107,361,579,69.4,102.8,0.335,0.375,0.51,50,46.8,10.1,9.4,0.476,13.8,30.2,0.229
PrairieView,2024,31,10,21,0.323,-15.39,-6.91,5,13,5,6,4,15,2176,2368,1240,770,1831,0.421,149,489,0.305,487,675,0.721,303,952,373,283,87,396,626,72.8,96.4,0.369,0.267,0.506,45.2,48.4,12.5,7.6,0.461,15.5,26.9,0.266
Presbyterian,2024,32,14,18,0.438,-8.02,-5.47,6,10,8,7,5,9,2390,2331,1285,866,1831,0.473,204,605,0.337,454,682,0.666,300,1064,416,219,104,367,600,69,107.9,0.372,0.33,0.555,49.8,48,9.9,9.2,0.529,14.6,27.6,0.248
Princeton,2024,28,24,4,0.857,6.93,-1.8,12,2,12,0,11,3,2158,1848,1120,746,1627,0.459,292,817,0.357,374,462,0.81,237,943,407,160,53,229,378,65.6,117.5,0.284,0.502,0.584,51.4,54.6,8.7,5.6,0.548,11,26,0.23
Providence,2024,34,21,13,0.618,12.71,8.82,10,10,14,4,4,7,2477,2345,1375,870,1959,0.444,284,867,0.328,453,630,0.719,314,1226,469,219,156,412,539,68.6,105,0.322,0.443,0.548,50.6,53.9,9.3,11.7,0.517,15.4,27.1,0.231
Purdue,2024,33,29,4,0.879,24.78,11.54,17,3,16,0,7,3,2752,2315,1335,941,1927,0.488,275,674,0.408,595,825,0.721,401,1332,607,187,125,379,474,69,119.6,0.428,0.35,0.593,57.7,64.5,8.1,9.6,0.56,14,37.4,0.309
PurdueFortWayne,2024,33,21,12,0.636,-0.18,-6.22,11,9,11,5,8,7,2669,2355,1330,961,2041,0.471,314,865,0.363,433,620,0.698,274,1066,449,308,104,339,569,72.3,111,0.304,0.424,0.571,46.5,46.7,12.8,8.7,0.548,12.7,23.4,0.212
Queens(NC),2024,33,14,19,0.424,-8.48,-3.22,7,9,11,3,2,16,2643,2693,1320,928,2095,0.443,294,864,0.34,493,694,0.71,372,1220,435,230,91,377,573,73.6,108.7,0.331,0.412,0.545,49.6,46.9,9.5,7,0.513,13.5,29.2,0.235
Quinnipiac,2024,33,24,9,0.727,-2.75,-7.15,15,5,13,3,10,5,2567,2358,1325,914,2025,0.451,247,700,0.353,492,631,0.78,354,1216,465,250,122,407,539,71.9,107.8,0.312,0.346,0.552,52.4,50.9,10.5,9.6,0.512,14.9,31.4,0.243
Radford,2024,33,16,17,0.485,-5.47,-3.28,5,11,8,5,4,12,2377,2361,1335,871,1907,0.457,238,655,0.363,397,537,0.739,339,1143,366,183,116,357,561,65.3,109.1,0.282,0.343,0.55,49.7,42,8.4,10,0.519,14.2,30.9,0.208
RhodeIsland,2024,32,12,20,0.375,-2.06,3.07,6,12,9,8,3,8,2322,2443,1280,826,1800,0.459,209,599,0.349,461,713,0.647,332,1178,408,151,99,403,541,69,105.2,0.396,0.333,0.543,51.7,49.4,6.8,8.3,0.517,15.9,30,0.256
Rice,2024,32,11,21,0.344,-2.92,2.28,5,13,6,10,5,7,2304,2421,1295,833,1880,0.443,251,744,0.337,387,557,0.695,330,1134,461,178,117,372,463,67.5,105.4,0.296,0.396,0.537,49.9,55.3,8.1,9.8,0.51,14.8,29.1,0.206
Richmond,2024,32,23,9,0.719,8.27,2.02,15,3,15,1,7,5,2314,2114,1285,851,1828,0.466,236,646,0.365,376,513,0.733,179,1052,424,217,94,277,451,67.6,106.6,0.281,0.353,0.558,47,49.8,10,8.5,0.53,11.8,17,0.206
Rider,2024,32,15,17,0.469,-5.45,-4,12,8,9,4,6,12,2309,2308,1295,836,1921,0.435,182,540,0.337,455,608,0.748,362,1202,427,210,124,398,560,69.1,103.2,0.317,0.281,0.522,51.9,51.1,9.4,10.7,0.483,15.3,31.9,0.237
RobertMorris,2024,32,10,22,0.313,-9.32,-4.06,6,14,7,9,3,13,2326,2425,1300,833,1927,0.432,273,812,0.336,387,540,0.717,391,1159,431,157,92,443,564,68.7,104.1,0.28,0.421,0.533,52,51.7,7,7.5,0.503,16.9,33.8,0.201
Rutgers,2024,32,15,17,0.469,7.67,8.83,7,13,12,5,3,9,2092,2129,1285,750,1927,0.389,175,610,0.287,417,634,0.658,392,1188,377,247,167,365,541,68.6,95,0.329,0.317,0.469,48.4,50.3,11.2,15.3,0.435,14.1,30.2,0.216
SacramentoState,2024,34,10,24,0.294,-10.37,-3.21,4,14,6,8,2,13,2282,2394,1360,798,1855,0.43,258,780,0.331,428,598,0.716,399,1209,444,178,93,495,577,65.5,102.4,0.322,0.42,0.533,55,55.6,8,8.2,0.5,18.8,35.4,0.231
SacredHeart,2024,32,16,16,0.5,-9.8,-9.34,10,6,11,5,4,11,2372,2313,1280,864,1898,0.455,237,650,0.365,407,586,0.695,300,1079,440,279,161,373,540,70.3,105.4,0.309,0.342,0.545,47.6,50.9,12.4,14.4,0.518,14.6,27.1,0.214
SaintFrancis(PA),2024,30,8,22,0.267,-18.47,-8.01,3,13,6,8,2,14,1955,2181,1205,713,1682,0.424,193,576,0.335,336,551,0.61,357,1038,367,178,107,412,532,66.7,97.3,0.328,0.342,0.503,50.3,51.5,8.9,10.2,0.481,17.5,33.3,0.2
SaintJoseph's,2024,34,21,13,0.618,6.78,1.63,9,9,14,3,3,9,2569,2394,1365,898,2015,0.446,341,958,0.356,432,595,0.726,344,1218,495,237,128,385,522,68.6,109.7,0.295,0.475,0.559,50.6,55.1,10.1,11,0.53,14.4,29.4,0.214
SaintLouis,2024,33,13,20,0.394,-1.38,4.34,5,13,8,8,3,9,2473,2620,1320,845,1873,0.451,259,705,0.367,524,699,0.75,287,1107,426,200,101,388,596,69.8,107.4,0.373,0.376,0.561,48.9,50.4,8.7,8.9,0.52,15,25.9,0.28
SaintMary's(CA),2024,33,26,7,0.788,16.96,3.43,15,1,14,4,9,0,2450,1938,1330,910,1940,0.469,251,708,0.355,379,559,0.678,434,1305,534,216,129,334,535,63.5,116,0.288,0.365,0.555,59,58.7,10.2,10.5,0.534,13.2,39.7,0.195
SaintPeter's,2024,32,19,13,0.594,-4.12,-6,12,8,8,5,8,8,2091,2030,1285,704,1775,0.397,188,566,0.332,495,694,0.713,403,1140,347,231,136,408,618,65.4,99.5,0.391,0.319,0.497,51.8,49.3,11,12.6,0.45,16.2,35.1,0.279
SamHouston,2024,33,21,12,0.636,-0.14,-1.49,13,3,12,2,7,9,2381,2282,1330,828,1948,0.425,245,697,0.352,480,663,0.724,393,1255,425,226,75,435,596,69.4,103.2,0.34,0.358,0.526,52.6,51.3,9.8,6.6,0.488,16.1,32.5,0.246
Samford,2024,34,29,5,0.853,6.26,-3.71,15,3,18,0,8,5,2923,2514,1360,1024,2079,0.493,335,852,0.393,540,742,0.728,357,1217,596,340,130,448,647,74.3,115.8,0.357,0.41,0.601,50.1,58.2,13.5,10.8,0.573,15.6,30.7,0.26
SanDiego,2024,33,18,15,0.545,-5.08,0.57,7,9,12,6,4,7,2392,2550,1320,849,1978,0.429,233,677,0.344,461,633,0.728,331,1128,432,239,126,437,628,72,100.7,0.32,0.342,0.525,47.7,50.9,10.1,10.8,0.488,16.1,27.5,0.233
SanDiegoState,2024,34,24,10,0.706,15.31,8.47,11,7,14,1,6,8,2536,2263,1385,880,1999,0.44,236,755,0.313,540,737,0.733,399,1295,446,248,137,376,596,67.2,109,0.369,0.378,0.54,53.2,50.7,10.7,12,0.499,13.8,33.3,0.27
SanFrancisco,2024,33,23,10,0.697,9.7,-0.08,11,5,14,2,6,5,2571,2189,1325,967,1978,0.489,284,803,0.354,353,466,0.758,311,1119,534,272,114,379,608,68.5,113.3,0.236,0.406,0.584,53.1,55.2,12,10.5,0.561,14.7,29.7,0.178
